Unnamed: 0_x,obsid,Heh,logg,teff,lamo,Ra,dec,snu
144,780706164,-2.891203403,5.666513443,25472.14453,LAMOST J065307.49+222611.4,103.281232,22.436506,15.01
145,780715008,-2.532341957,5.790977478,27669.16016,LAMOST J064147.32+241219.0,100.447176,24.205303,27.47
146,781709045,-2.441941261,5.588481903,27538.29297,LAMOST J035431.71+244042.6,58.632159,24.678526,77.66
147,781809016,-2.625424862,5.540755749,28924.4375,LAMOST J064658.02+233226.6,101.741766,23.540746,13.34
148,781904176,-2.299381733,5.450104713,36295.38281,LAMOST J234353.40+211400.5,355.972531,21.233483,5.93
149,782103177,-1.87279439,5.384533405,35103.35938,LAMOST J052239.70+033229.7,80.665428,3.541593,10.47
150,782503116,-2.715180397,5.136311054,27637.83203,LAMOST J111608.16+410255.2,169.034029,41.048685,5.94
151,782701114,-2.249122381,6.177469254,25686.76172,LAMOST J045809.76+283301.1,74.540698,28.550324,7.08
152,782704235,-1.411684513,5.166316986,37316.25781,LAMOST J045833.34+304147.0,74.639617,30.697633,123.31
153,782908027,-2.263104439,5.985559464,27383.94727,LAMOST J070337.88-000258.7,105.907871,-0.049658,31.96
154,782908212,-2.117080212,5.37852478,29390.64063,LAMOST J070225.22-011917.4,105.605119,-1.321505,38.47
155,782910081,-2.272722483,5.557432175,24815.49805,LAMOST J065120.48-003036.3,102.835353,-0.510109,7.43
156,782914247,-0.33510828,5.295070171,39221.19922,LAMOST J065118.69+002712.9,102.827888,0.453592,16.11
157,782915103,-2.816617489,5.928854942,25048.65234,LAMOST J070108.89+004620.3,105.287042,0.772318,6.88
158,792207163,-2.908027887,5.423463821,23621.32031,LAMOST J121853.27+150055.9,184.721971,15.01553,6.29
159,792510168,-2.514621496,5.809529781,29653.57813,LAMOST J034408.80+230447.6,56.036692,23.079907,13.45
160,792907116,-2.677950859,5.232036591,29951.08398,LAMOST J135100.68+292920.9,207.752836,29.48915,8.14
161,794306012,-2.715747595,5.959911823,26446.69336,LAMOST J120403.25+163142.8,181.013563,16.528572,8.29
162,794915063,-2.562072515,5.269574165,27677.30078,LAMOST J035634.24+555705.6,59.142701,55.951563,8.08
163,795015233,-2.449766636,5.540894032,27389.14063,LAMOST J081717.01-001224.0,124.320886,-0.206679,28.45
164,795709160,-2.315317154,5.483950615,26749.66602,LAMOST J064431.41+235437.5,101.130911,23.910424,9.3
165,795813076,-2.187547207,5.775443554,25259.42188,LAMOST J035409.62+383057.1,58.540086,38.515878,6.49
166,795914053,-1.163865805,4.752746582,28532.32422,LAMOST J061905.94+224344.4,94.774767,22.729003,29.97
167,795914198,-2.282683372,5.351704121,29605.1543,LAMOST J061700.36+223948.6,94.2515,22.663507,6.39
168,796208141,-2.082731724,5.577407837,26586.42773,LAMOST J045405.31+151114.1,73.522128,15.187256,14.47
169,805706107,-2.435526133,5.551189899,26492.14844,LAMOST J065205.21+345240.5,103.021723,34.877943,62.72
170,806005033,-2.74531579,5.874815941,28896.25977,LAMOST J070201.13+075309.2,105.503623,7.885703,9.17
171,806014108,-2.66776228,5.928111076,24512.07617,LAMOST J065513.97+094716.5,103.808211,9.787917,22.67
172,806306046,-1.573051333,5.108210564,29430.10547,LAMOST J060349.84+313221.4,90.957685,31.539279,16.6
173,807405138,-1.910234213,5.355518341,30214.88281,LAMOST J113004.60-041154.3,172.519192,-4.198444,13.59
174,811709193,-2.74175334,5.506694317,30858.79688,LAMOST J084116.32+243441.0,130.31803,24.578068,6.5
175,814914169,-2.876912355,5.285872936,29836.05859,LAMOST J093024.38+165542.2,142.601613,16.928397,12.05
